mol_chembl_id,molregno,standard_type,standard_relation,standard_value,standard_units,canonical_smiles,tgt_chembl_id,tgt_name,assay_chembl_id,assay_desc
CHEMBL1241546,700766,Ki,=,0.07943,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5c4OCc6c(C)nnn56)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL1241738,700960,Ki,=,0.07943,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5c4OCc6nnc(C)n56)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL522257,493094,Ki,=,0.07943,nM,CN1C(=O)COc2ccc(CCN3CCN(CC3)c4cccc5nc(C)ccc45)cc12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL3330612,1789610,EC50,=,0.08,nM,CN1C(=O)C=NN(CCCCN2CCN(CC2)c3ccccn3)C1=O,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL3387898,Agonist activity at human 5HT1AR expressed in CHO cells assessed as increase in [35S]GTPgammaS binding by liquid scintillation spectrometry
CHEMBL444590,179683,Ki,=,0.08,nM,COc1cccc2C(CCCN3CCN(CC3)c4ccccn4)CCCc12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615765,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines (He La)
CHEMBL210978,353671,Ki,=,0.1,nM,NC(=O)c1ccc(F)c2OC[C@H](Cc12)N(CCCc3c[nH]c4ccc(F)cc34)CC5CC5,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL864775,Displacement of [3H]-8-OH-DPAT from human 5HT1A receptor expressed in CHO cells
CHEMBL2413153,1574375,Ki,=,0.1,nM,CN1C(=O)C=NN(CCCCN2CCN(CC2)c3ccccc3OCCF)C1=O,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL2416751,Binding affinity to 5HT1A receptor (unknown origin)
CHEMBL2413154,1574376,EC50,=,0.1,nM,COc1ccccc1N2CCN(CCCCN3N=CC(=O)N(C)C3=O)CC2,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL3387898,Agonist activity at human 5HT1AR expressed in CHO cells assessed as increase in [35S]GTPgammaS binding by liquid scintillation spectrometry
CHEMBL24523,32834,Ki,=,0.1,nM,CCCN1CC[C@@H]2[C@@H]1CCc3cccc(O)c23,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615459,Tested for activity against 5-hydroxytryptamine 1A receptor from bovine hippocampus
CHEMBL26998,35324,Ki,=,0.1,nM,CCCN(CCC)[C@@H]1CCc2cccc(O)c2C1,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615578,Binding affinity at 5-hydroxytryptamine 1A receptor in bovine hippocampal preparation using [3H]8-OH-DPAT
CHEMBL430332,32833,Ki,=,0.1,nM,CCCN1CC[C@@H]2[C@H]1CCc3cccc(O)c23,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL616368,Binding affinity against 5-hydroxytryptamine 1A receptor
CHEMBL469568,521780,Ki,=,0.1,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5N(C6CC6)C(=O)COc45)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL975274,Antagonist activity at human 5HT1A assessed as GTPgammaS binding by scintillation proximity assay in presence of 5-HT
CHEMBL71920,111586,Ki,=,0.1,nM,CCCN(CCC)[C@@H]1CCc2ccc3[nH]c(cc3c2C1)C#N,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615442,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of bovine hippocampus.
CHEMBL1258426,707436,Ki,=,0.102,nM,Fc1ccc2cccc(N3CCN(CCCOc4ccc5CNCc5c4)CC3)c2c1,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260560,Displacement of [3H]-8-OH-DPAT from human 5HT1A receptor expressed in HeLa cells
CHEMBL1257856,706860,Ki,=,0.10800000000000001,nM,O=C1NCc2ccc(OCCCN3CCN(CC3)c4cccc5CCOCc45)cc12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260560,Displacement of [3H]-8-OH-DPAT from human 5HT1A receptor expressed in HeLa cells
CHEMBL1241913,701137,Ki,=,0.1148,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5c4OCc6c(ncn56)C(=O)N)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248774,Displacement of [3H]-WAY100635 from human recombinant 5HT1A receptor expressed in CHO cells after 45 mins by scintillation counting
CHEMBL1258649,707661,Ki,=,0.11800000000000001,nM,Fc1cccc2cccc(N3CCN(CCCCOc4cc5C(=O)NCc5cc4F)CC3)c12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260561,Binding affinity to human 5HT1A receptor expressed in HeLa cells by scintillation proximity assay
CHEMBL352186,276787,Ki,=,0.12,nM,COc1ccc2[nH]cc(CCN3CCCC3)c2c1F,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615808,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT-as radioligand
CHEMBL1242081,701307,Ki,=,0.1259,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5c4OCc6c(ncn56)C(=O)NC7CC7)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL1242345,701573,Ki,=,0.1259,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5c4OCc6c(ncn56)C(=O)NCC7CC7)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL1242533,701763,Ki,=,0.1259,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5c4OCc6c(ncn56)C(=O)N7CCCC7)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL1242904,702138,Ki,=,0.1259,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5c4OCc6nccn56)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL472290,521712,Ki,=,0.1259,nM,CCN1C(=O)COc2c(CCN3CCN(CC3)c4cccc5nc(C)ccc45)cccc12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL975274,Antagonist activity at human 5HT1A assessed as GTPgammaS binding by scintillation proximity assay in presence of 5-HT
CHEMBL484260,492945,Ki,=,0.1259,nM,Cc1cc(N2CCN(CCc3ccc4OCC(=O)Nc4c3)CC2)c5ccc(C)nc5c1,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL938538,Displacement of [3H]WAY-100635 from human 5HT1A receptor expressed in CHO cells
CHEMBL1257969,706974,Ki,=,0.128,nM,Fc1c(OCCCN2CCN(CC2)c3cccc4ccccc34)ccc5CNC(=O)c15,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260561,Binding affinity to human 5HT1A receptor expressed in HeLa cells by scintillation proximity assay
CHEMBL1086156,615397,Ki,=,0.1288,nM,COc1ccccc1OCCNCC2CSC(S2)(c3ccccc3)c4ccccc4,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1099772,Displacement of [3H]8-OH-DPAT from human 5-HT1A receptor expressed in human HeLa cells
CHEMBL416523,8618,IC50,=,0.1288,nM,COc1cccc2OCC(CNCCCCN3C(=O)CC4(CCCC4)CC3=O)Cc12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL857064,Binding affinity towards 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT.
CHEMBL276031,12048,EC50,=,0.13,nM,CCCN(CCC)C1Cc2c[nH]c3ccc(C(=O)C)c(C1)c23,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615478,EC50 for inhibition of 50 uM forskolin-stimulated cAMP accumulation against 5-hydroxytryptamine 1A receptor
CHEMBL1258085,707091,Ki,<,0.14,nM,Fc1cccc2cccc(N3CCN(CCCOc4ccc5CNC(=O)c5c4F)CC3)c12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260561,Binding affinity to human 5HT1A receptor expressed in HeLa cells by scintillation proximity assay
CHEMBL1258312,707321,Ki,=,0.149,nM,C(COc1ccc2CNCc2c1)CN3CCN(CC3)c4cccc5ccccc45,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260560,Displacement of [3H]-8-OH-DPAT from human 5HT1A receptor expressed in HeLa cells
CHEMBL1258647,707659,Ki,=,0.151,nM,O=C1NCc2ccc(OCCCCN3CCN(CC3)c4cccc5ccccc45)cc12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260560,Displacement of [3H]-8-OH-DPAT from human 5HT1A receptor expressed in HeLa cells
CHEMBL1241641,700862,Ki,=,0.1585,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5c4OCc6nc(cn56)C(F)(F)F)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL1241824,701047,Ki,=,0.1585,nM,CN(C)C(=O)c1ncn2c1COc3c(CCN4CCN(CC4)c5cccc6nc(C)ccc56)cccc23,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL1241912,701136,Ki,=,0.1585,nM,CNC(=O)c1ncn2c1COc3c(CCN4CCN(CC4)c5cccc6nc(C)ccc56)cccc23,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL1242167,701393,Ki,=,0.1585,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5c4OCc6c(ncn56)C(=O)NC7CCC7)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL1242436,701665,Ki,=,0.1585,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5c4OCc6c(ncn56)C(=O)N7CCC7)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL31354,42179,Ki,=,0.1585,nM,COc1ccccc1N2CCN(CCN(C(=O)C3CCCCC3)c4ccccn4)CC2,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL953250,Displacement of [3H]8-OH-DPAT from human recombinant 5HT1A receptor
CHEMBL469345,521709,Ki,=,0.1585,nM,CN1C(=O)COc2c(CCN3CCN(CC3)c4cccc5nc(C)ccc45)cccc12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1293141,Antagonist activity at human 5-HT1A receptor expressed in HEK293 cells assessed as inhibition of GTPgammaS binding by scintillation proximity assay
CHEMBL423181,229565,Ki,=,0.16,nM,COc1ccc2CCC(CCN3CCN(CC3)c4ccccn4)Cc2c1,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL3594589,Agonist activity at human 5-HT1A receptor expressed in human HeLa cell membranes assessed as stimulation of [35S]GTPgammaS binding after 20 mins by liquid scintillation counting analysis
CHEMBL56,4149,Ki,=,0.17,nM,CCCN(CCC)C1CCc2cccc(O)c2C1,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1817462,Displacement of [3H]8-OH-DPAT from human 5HT1A receptor
CHEMBL1257145,706142,Ki,=,0.179,nM,Fc1cc2cccc(N3CCN(CCCOc4ccc5CNC(=O)c5c4)CC3)c2cc1F,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260560,Displacement of [3H]-8-OH-DPAT from human 5HT1A receptor expressed in HeLa cells
CHEMBL3331390,1790395,Ki,=,0.19,nM,COc1ccccc1N2CCN(CCCCCCCN3C(=O)Oc4ccccc34)CC2,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL3367562,Displacement of [3H]8-OH-DPAT from human 5-HT1A receptor transfected in CFO-K1 cells after 30 mins by liquid scintillation spectrometry
CHEMBL11592,8635,IC50,=,0.1995,nM,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)C3COc4cccc(OC)c4C3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL857064,Binding affinity towards 5-hydroxytryptamine 1A receptor by displacement of [3H]8-OH-DPAT.
CHEMBL1241547,700767,Ki,=,0.1995,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5c4OCc6nc(C)cn56)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL1241548,700768,Ki,=,0.1995,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5c4OCc6nc(C)c(C)n56)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL1241642,700863,Ki,=,0.1995,nM,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc5c4OCc6cncn56)CC3,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL1241998,701223,Ki,=,0.1995,nM,CC(C)NC(=O)c1ncn2c1COc3c(CCN4CCN(CC4)c5cccc6nc(C)ccc56)cccc23,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1248645,Antagonist activity against human recombinant 5HT1A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced [35S]GTPgammaS binding by scintillation proximity assay
CHEMBL26118,32501,Kd,=,0.1995,nM,COc1cccc2CC[C@@H]3[C@@H](CCN3CC=C)c12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1061237,Binding affinity to 5HT1A receptor
CHEMBL284585,32479,Kd,=,0.1995,nM,CCCN1CC[C@@H]2[C@H]1CCc3cccc(OC)c23,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1061237,Binding affinity to 5HT1A receptor
CHEMBL469374,521851,Ki,=,0.1995,nM,CN1C(=O)COc2c(CCN3CCN(CC3)c4cc(F)cc5nc(C)ccc45)cccc12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL975274,Antagonist activity at human 5HT1A assessed as GTPgammaS binding by scintillation proximity assay in presence of 5-HT
CHEMBL513875,521852,Ki,=,0.1995,nM,C[C@@H]1CN(CCN1CCc2cccc3N(C)C(=O)COc23)c4cc(F)cc5nc(C)ccc45,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL975274,Antagonist activity at human 5HT1A assessed as GTPgammaS binding by scintillation proximity assay in presence of 5-HT
CHEMBL116809,189994,Kb,=,0.2,nM,O[C@@H](CNCC[C@H](Oc1ccc(cc1)C(F)(F)F)c2ccccc2)COc3cccc4[nH]ccc34,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL807671,Antagonistic potency as binding affinity of 5-HT stimulated [35S]GTP gamma S to human 5-HT1A receptor
CHEMBL1744088,1122659,Ki,=,0.2,nM,CCCN(CCCCN1C(=O)CC(C)(C)CC1=O)[C@@H]2CCc3ccc4[nH]c(cc4c3C2)C#N,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615442,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor of bovine hippocampus.
CHEMBL1910139,1249730,Ki,=,0.2,nM,COc1ccccc1N2CCN(CCN(C(=O)C34C5C6C3C7C4C5C67CF)c8ccccn8)CC2,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1913218,Displacement of [3H]8-OH-DPAT from 5HT1A receptor expressed in HEK293 EBNA cells by radioligand binding assay
CHEMBL199443,333676,Ki,=,0.2,nM,CN1CCc2c(C1)sc3N=CN(CCN4CCN(CC4)c5cccc6cccnc56)C(=O)c23,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL859776,Displacement of [35S]GTP-gamma-S from human recombinant 5HT1A receptor
CHEMBL2112778,1385029,Ki,=,0.2,nM,COc1cccc(c1)C2CCC(CC2)N3CCN(CC3)c4ccccn4,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615766,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines(He La)
CHEMBL259686,441755,Ki,=,0.2,nM,COc1ccc2ccc(NCCCN3CCN(CC3)c4ccccc4OC)nc2c1,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL950989,Displacement of [3H]8-OH-DPAT from human 5HT1A receptor expressed in HEK293 cells after 120 mins
CHEMBL279207,32505,Ki,=,0.2,nM,COc1cccc2CC[C@H]3[C@@H](CCN3CC=C)c12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL616375,Tested for activity against 5-hydroxytryptamine 1A receptor from bovine hippocampus
CHEMBL281819,33045,Ki,=,0.2,nM,CCCN1CC[C@@H]2[C@@H]1CCc3cccc(OC)c23,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615459,Tested for activity against 5-hydroxytryptamine 1A receptor from bovine hippocampus
CHEMBL304438,96728,IC50,=,0.2,nM,COc1ccccc1N2CCN(CCc3ccc4N(C)C(=O)COc4c3)CC2,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615581,Affinity towards 5-hydroxytryptamine 1A receptor in membranes from bovine hippocampus using [3H]OH-DPAT
CHEMBL318374,170360,Ki,=,0.2,nM,COC(=O)c1cc2c3OC(CNCCCc4ccccc4)COc3ccc2[nH]1,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL616373,Displacement of [3H]8-OH-DPAT from 5-hydroxytryptamine 1A receptor expressed in CHO cell membranes
CHEMBL3330616,1789614,EC50,=,0.2,nM,CN1C(=O)C=NN(CCCCN2CCN(CC2)c3cccc(F)n3)C1=O,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL3387898,Agonist activity at human 5HT1AR expressed in CHO cells assessed as increase in [35S]GTPgammaS binding by liquid scintillation spectrometry
CHEMBL3982486,2191857,Ki,=,0.2,nM,CCOC(=O)N[C@@H]1CC[C@@H](CCN2CCN(CC2)c3nsc4ccccc34)CC1,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL3872757,Displacement of [3H]8-OH-DPAT from recombinant human 5-HT1A receptor expressed in HEK293 cell membranes after 60 mins by scintillation counting method
CHEMBL411949,441846,Ki,=,0.2,nM,COc1ccc2nc(NCCCCN3CCN(CC3)c4ccccc4OC)ccc2c1,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1273712,Displacement of [3H]8-OH-DPAT from human cloned 5HT1A receptor expressed in HEK293 cells
CHEMBL60447,96268,IC50,=,0.2,nM,CN1C(=O)Sc2cc(CCN3CCN(CC3)c4ccccc4O)ccc12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615581,Affinity towards 5-hydroxytryptamine 1A receptor in membranes from bovine hippocampus using [3H]OH-DPAT
CHEMBL64878,96097,IC50,=,0.2,nM,COc1ccccc1N2CCN(CCCCc3ccc4nc(O)sc4c3)CC2,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615581,Affinity towards 5-hydroxytryptamine 1A receptor in membranes from bovine hippocampus using [3H]OH-DPAT
CHEMBL1258425,707435,Ki,=,0.204,nM,C(CCN1CCN(CC1)c2cccc3ccccc23)COc4ccc5CNCc5c4,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260560,Displacement of [3H]-8-OH-DPAT from human 5HT1A receptor expressed in HeLa cells
CHEMBL1258200,707208,Ki,<,0.205,nM,Fc1ccc2cccc(N3CCN(CCCOc4ccc5CNC(=O)c5c4F)CC3)c2c1,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260561,Binding affinity to human 5HT1A receptor expressed in HeLa cells by scintillation proximity assay
CHEMBL2112779,1385030,Ki,=,0.21,nM,COc1cccc(c1)C2CCC(CC2)N3CCN(CC3)c4ccccc4OC,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615766,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines(He La)
CHEMBL3331391,1790396,Ki,=,0.21,nM,COc1ccccc1N2CCN(CCCCCCCN3C(=O)Sc4ccccc34)CC2,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL3367562,Displacement of [3H]8-OH-DPAT from human 5-HT1A receptor transfected in CFO-K1 cells after 30 mins by liquid scintillation spectrometry
CHEMBL142862,237228,Ki,=,0.23,nM,COc1ccc2[nH]cc(CCN(C)C)c2c1F,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615808,Binding affinity towards human 5-hydroxytryptamine 1A receptor was determined using [3H]8-OH-DPAT-as radioligand
CHEMBL344432,229068,Ki,=,0.23,nM,COc1cccc2C(CCCNCCOc3ccccn3)CCCc12,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL615766,Binding affinity on human cloned 5-hydroxytryptamine 1A receptor transfected in human cell lines(He La)
CHEMBL1258532,707543,Ki,=,0.243,nM,Fc1ccc2cccc(N3CCN(CCCCOc4ccc5CNCc5c4)CC3)c2c1,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL1260560,Displacement of [3H]-8-OH-DPAT from human 5HT1A receptor expressed in HeLa cells
CHEMBL38413,59838,Ki,=,0.247,nM,COc1ccccc1N2CCN(CCN(C(=O)C3CCC(F)CC3)c4ccccn4)CC2,CHEMBL214,Serotonin 1a (5-HT1a) receptor,CHEMBL616119,In vitro inhibition of [3H]- 8-OH-DPAT binding to cloned cell line containing human 5-hydroxytryptamine 1A receptor by Panlabs assay
